# pinyin	word	lcid	rcid	mid	value
a	吖	1288	1288	501	-6.5
a	啊	1288	1288	501	-6.5
a	錒	1288	1288	501	-6.5
a	锕	1288	1288	501	-6.5
a	阿	1288	1288	501	-30.0
a	𠼞	1288	1288	501	-6.5
a	𥥩	1288	1288	501	-6.5
a	𨉚	1288	1288	501	-6.5
a	𱚱	1288	1288	501	-6.5
abai	阿拝	1293	1293	501	-16.823699951171875
aban	阿坂	1290	1290	371	-14.366800308227539
abao	阿保	1290	1290	128	-13.42710018157959
abao	阿寶	1291	1291	501	-17.239099502563477
abaoji	阿保機	1291	1291	501	-17.239099502563477
abei	阿倍	1290	1290	10	-13.251399993896484
abei	阿北	1290	1290	501	-12.242799758911133
abeibiluofu	阿倍比羅夫	1289	1289	135	-12.77079963684082
abeijimi	阿輩雞弥	1285	1285	501	-18.380599975585938
abeijimi	阿輩雞彌	1285	1285	501	-18.380599975585938
abeitai	阿輩臺	1285	1285	501	-18.380599975585938
abeiye	阿倍野	1293	1293	231	-11.607500076293945
abeiyequ	阿倍野区	1293	1293	18	-12.663599967956543
aben	阿本	1290	1290	501	-16.49839973449707
abi	阿閇	1293	1293	219	-16.823699951171875
abi	阿閉	1290	1290	148	-16.83489990234375
abi	阿鼻	1285	1285	501	-16.264299392700195
abian	阿邊	1290	1290	501	-16.364900588989258
abijiaohuan	阿鼻叫喚	1285	1285	389	-13.046699523925781
abiliu	阿比留	1290	1290	285	-13.057600021362305
abo	阿波	1293	1293	464	-11.234299659729004
abogen	阿波根	1290	1290	233	-12.976300239562988
aboguo	阿波国	1288	1288	464	-12.305100440979004
abolian	阿波連	1290	1290	501	-16.83489990234375
aboshi	阿波市	1293	1293	82	-12.0177001953125
aboshou	阿波手	1293	1293	501	-16.823699951171875
aboye	阿波野	1290	1290	310	-12.54170036315918
aboyexiuxing	阿波野秀幸	1289	1289	122	-17.124000549316406
abozuo	阿波座	1293	1293	371	-12.859800338745117
abu	阿部	1293	1293	344	-11.928400039672852
abuchunzi	阿部純子	1289	1289	122	-16.58799934387207
abuding	阿部定	1289	1289	159	-12.929699897766113
abudun	阿部敦	1289	1289	122	-19.85300064086914
abuguangtailang	阿部広太郎	1289	1289	501	-12.872300148010254
abuhezhong	阿部和重	1289	1289	122	-21.804000854492188
abuhuayezi	阿部華也子	1289	1289	122	-15.864999771118164
abujinzhijie	阿部進之介	1289	1289	122	-17.639999389648438
abujunzi	阿部俊子	1289	1289	122	-15.666000366210938
abukuan	阿部寛	1289	1289	122	-11.723899841308594
abuli	阿部力	1289	1289	122	-16.40399932861328
abuliangping	阿部亮平	1289	1289	501	-12.320199966430664
abushenzhizhu	阿部慎之助	1289	1289	310	-12.34000015258789
abushi	阿部詩	1289	1289	122	-21.441999435424805
abushoushu	阿部寿樹	1289	1289	122	-17.367000579833984
abuxianlan	阿部顕嵐	1289	1289	122	-15.925999641418457
abuxiaozi	阿部暁子	1289	1289	122	-19.08300018310547
abuyiersan	阿部一二三	1289	1289	122	-20.04199981689453
abuyongshu	阿部勇樹	1289	1289	62	-12.84939956665039
abuzhenghong	阿部正弘	1289	1289	108	-11.995200157165527
abuzhenyang	阿部真央	1289	1289	22	-12.553000450134277
acao	阿漕	1287	1287	200	-17.141599655151367
acao	阿草	1290	1290	501	-15.736300468444824
aceng	阿曽	1290	1290	114	-13.430399894714355
acengtian	阿曽田	1290	1290	501	-15.879400253295898
acengzhao	阿曽沼	1290	1290	328	-13.725799560546875
achaluo	阿茶羅	1285	1285	501	-17.975099563598633
acheng	阿澄	1290	1290	122	-17.55299949645996
achengjianai	阿澄佳奈	1289	1289	122	-17.55299949645996
achu	阿閦	1288	1288	501	-18.019500732421875
achuan	阿川	1290	1290	285	-12.121800422668457
achuanhongzhi	阿川弘之	1289	1289	323	-12.812199592590332
achuanzuohezi	阿川佐和子	1289	1289	170	-12.946200370788574
aciji	阿刺吉	1285	1285	501	-17.975099563598633
ada	阿達	1290	1290	501	-12.833000183105469
adai	阿呆	1285	1285	420	-13.587699890136719
adaituoluo	阿呆陀羅	1285	1285	501	-18.28529930114746
adan	阿丹	1293	1293	501	-16.669599533081055
adao	阿刀	1290	1290	10	-13.809599876403809
adao	阿道	1289	1289	501	-17.04050064086914
adaotian	阿刀田	1290	1290	501	-13.776200294494629
adechuan	阿地川	1290	1290	501	-16.83489990234375
adihe	阿氐河	1293	1293	501	-16.823699951171875
ading	阿定	1291	1291	501	-17.239099502563477
adong	阿東	1293	1293	489	-13.775300025939941
adouzuowei	阿豆佐味	1288	1288	501	-18.019500732421875
adu	阿堵	1285	1285	501	-18.28529930114746
adu	阿渡	1293	1293	501	-16.823699951171875
aduli	阿闍梨	1285	1285	238	-13.584799766540527
aduo	阿多	1290	1290	358	-12.11460018157959
aduoduoluo	阿多多羅	1293	1293	501	-16.823699951171875
aduofu	阿多福	1285	1285	501	-19.07379913330078
adushi	阿闍世	1289	1289	443	-17.04050064086914
aer	阿児	1293	1293	39	-13.199399948120117
aerjin	阿尓金	1293	1293	501	-16.823699951171875
aerjin	阿爾金	1293	1293	501	-16.823699951171875
afang	阿房	1287	1287	501	-16.522600173950195
afang	阿方	1293	1293	501	-15.119000434875488
afanglieche	阿房列車	1288	1288	229	-14.277299880981445
afei	阿飛	1289	1289	501	-17.04050064086914
afo	阿仏	1289	1289	501	-17.04050064086914
afu	阿附	1283	1283	501	-17.569299697875977
afuli	阿夫利	1289	1289	501	-17.04050064086914
afutu	阿伏兎	1288	1288	501	-18.019500732421875
afuyinghe	阿附迎合	1285	1285	228	-15.672599792480469
age	阿哥	1285	1285	501	-18.28529930114746
agu	阿古	1293	1293	3	-12.517399787902832
aguda	阿骨打	1289	1289	58	-17.04050064086914
aguo	阿国	1289	1289	465	-12.401000022888184
aguwan	阿古丸	1289	1289	501	-15.654199600219727
aguwu	阿古屋	1293	1293	501	-16.823699951171875
aguwuji	阿古屋姫	1289	1289	501	-17.04050064086914
ahan	阿含	1288	1288	137	-14.205900192260742
ahan	阿寒	1292	1292	385	-11.835700035095215
ahanhu	阿寒湖	1288	1288	385	-13.790800094604492
ahanzong	阿含宗	1292	1292	300	-12.396300315856934
ahe	阿賀	1293	1293	200	-12.360699653625488
ahechuan	阿賀川	1288	1288	176	-13.570899963378906
ahenan	阿賀南	1293	1293	501	-16.31290054321289
aheng	阿衡	1285	1285	501	-18.28529930114746
aheting	阿賀町	1293	1293	309	-12.519700050354004
aheye	阿賀野	1293	1293	343	-13.491499900817871
aheyechuan	阿賀野川	1288	1288	176	-12.658499717712402
aheyechuanshuixi	阿賀野川水系	1288	1288	176	-14.10990047454834
aheyeshi	阿賀野市	1293	1293	82	-12.763299942016602
ahong	阿吽	1285	1285	358	-14.22719955444336
ahong	阿呍	1285	1285	501	-17.910600662231445
ahou	阿後	1290	1290	501	-16.83489990234375
ahu	阿護	1293	1293	501	-16.823699951171875
ahua	阿花	1289	1289	501	-17.55139923095703
ahugen	阿胡根	1293	1293	501	-16.823699951171875
ahuhe	阿弖河	1293	1293	501	-15.214300155639648
ahui	阿恵	1289	1289	501	-17.04050064086914
ahuliuwei	阿弖流為	1289	1289	501	-13.066499710083008
ahuliuwei	阿弖流爲	1289	1289	501	-17.04050064086914
ai	㕌	1288	1288	501	-6.5
ai	㗒	1288	1288	501	-6.5
ai	㘷	1288	1288	501	-6.5
ai	㝶	1288	1288	501	-6.5
ai	㢊	1288	1288	501	-6.5
ai	㤅	1288	1288	501	-6.5
ai	㦈	1288	1288	501	-6.5
ai	㱯	1288	1288	501	-6.5
ai	㶼	1288	1288	501	-6.5
ai	㾢	1288	1288	501	-6.5
ai	㿄	1288	1288	501	-6.5
ai	䀳	1288	1288	501	-6.5
ai	䅬	1288	1288	501	-6.5
ai	䑂	1288	1288	501	-6.5
ai	䔽	1288	1288	501	-6.5
ai	䝽	1288	1288	501	-6.5
ai	䠹	1288	1288	501	-6.5
ai	䨠	1288	1288	501	-6.5
ai	䶣	1288	1288	501	-6.5
ai	伌	1288	1288	501	-6.5
ai	僾	1288	1288	501	-6.5
ai	凒	1288	1288	501	-6.5
ai	叆	1288	1288	501	-6.5
ai	哀	1288	1288	501	-30.0
ai	哎	1288	1288	501	-6.5
ai	唉	1288	1288	501	-6.5
ai	啀	1288	1288	501	-30.0
ai	嗌	1288	1288	501	-6.5
ai	嗳	1288	1288	501	-6.5
ai	嘊	1288	1288	501	-6.5
ai	噯	1285	1285	501	-18.380599975585938
ai	埃	1285	1285	174	-11.850099563598633
ai	塧	1288	1288	501	-6.5
ai	壒	1288	1288	501	-6.5
ai	娭	1288	1288	501	-6.5
ai	娾	1288	1288	501	-6.5
ai	嫒	1288	1288	501	-6.5
ai	嬡	1288	1288	501	-6.5
ai	愛	1288	1288	501	-30.0
ai	懓	1288	1288	501	-6.5
ai	懝	1288	1288	501	-6.5
ai	挨	1288	1288	501	-30.0
ai	捱	1288	1288	501	-6.5
ai	敱	1288	1288	501	-6.5
ai	敳	1288	1288	501	-6.5
ai	昹	1288	1288	501	-6.5
ai	暧	1288	1288	501	-6.5
ai	曖	1288	1288	501	-30.0
ai	欸	1288	1288	501	-30.0
ai	毐	1288	1288	501	-6.5
ai	溰	1288	1288	501	-6.5
ai	溾	1288	1288	501	-6.5
ai	濭	1288	1288	501	-6.5
ai	爱	1288	1288	501	-6.5
ai	瑷	1288	1288	501	-6.5
ai	璦	1288	1288	501	-6.5
ai	癌	1285	1285	192	-10.560400009155273
ai	皑	1288	1288	501	-6.5
ai	皚	1288	1288	501	-30.0
ai	皧	1288	1288	501	-6.5
ai	瞹	1288	1288	501	-30.0
ai	矮	1288	1288	501	-30.0
ai	砹	1288	1288	501	-6.5
ai	硋	1288	1288	501	-6.5
ai	碍	1288	1288	501	-30.0
ai	礙	1288	1288	501	-30.0
ai	艾	1288	1288	501	-30.0
ai	蔼	1288	1288	501	-6.5
ai	薆	1288	1288	501	-6.5
ai	藹	1288	1288	501	-30.0
ai	譪	1288	1288	501	-6.5
ai	譺	1288	1288	501	-6.5
ai	躷	1288	1288	501	-6.5
ai	銰	1288	1288	501	-6.5
ai	鎄	1288	1288	501	-6.5
ai	鑀	1288	1288	501	-6.5
ai	锿	1288	1288	501	-6.5
ai	閡	1288	1288	501	-6.5
ai	隘	1285	1285	501	-18.28529930114746
ai	霭	1288	1288	501	-6.5
ai	靄	1285	1285	112	-18.380599975585938
ai	靉	1288	1288	501	-30.0
ai	餲	1288	1288	501	-6.5
ai	馤	1288	1288	501	-6.5
ai	騃	1288	1288	501	-6.5
ai	鱫	1288	1288	501	-6.5
ai	鴱	1288	1288	501	-6.5
ai	𠊎	1288	1288	501	-6.5
ai	𠳳	1288	1288	501	-6.5
ai	𡁍	1288	1288	501	-6.5
ai	𡉓	1288	1288	501	-6.5
ai	𡟓	1288	1288	501	-6.5
ai	𡰽	1288	1288	501	-6.5
ai	𡶃	1288	1288	501	-6.5
ai	𢟪	1288	1288	501	-6.5
ai	𢟰	1288	1288	501	-6.5
ai	𢣏	1288	1288	501	-6.5
ai	𢣕	1288	1288	501	-6.5
ai	𢰇	1288	1288	501	-6.5
ai	𣉼	1288	1288	501	-6.5
ai	𣋞	1288	1288	501	-6.5
ai	𣜬	1288	1288	501	-6.5
ai	𣝅	1288	1288	501	-6.5
ai	𣤃	1288	1288	501	-6.5
ai	𣩱	1288	1288	501	-6.5
ai	𤢵	1288	1288	501	-6.5
ai	𤸖	1288	1288	501	-6.5
ai	𤸳	1288	1288	501	-6.5
ai	𤻢	1288	1288	501	-6.5
ai	𥡽	1288	1288	501	-6.5
ai	𥤦	1288	1288	501	-6.5
ai	𥴨	1288	1288	501	-6.5
ai	𦗍	1288	1288	501	-6.5
ai	𦗐	1288	1288	501	-6.5
ai	𦥂	1288	1288	501	-6.5
ai	𦥈	1288	1288	501	-6.5
ai	𦩴	1288	1288	501	-6.5
ai	𧏹	1288	1288	501	-6.5
ai	𧓁	1288	1288	501	-6.5
ai	𧡋	1288	1288	501	-6.5
ai	𧪚	1288	1288	501	-6.5
ai	𧰿	1288	1288	501	-6.5
